ParticipantName,View,counts
P01,viz3,204
P01,viz2,159
P01,viz1,108
P01,viz4,81
P01,other,20
P02,viz2,57
P02,viz3,42
P02,viz1,33
P02,viz4,27
P02,other,5
P03,viz3,1
P03,viz1,10
P03,other,8
P03,viz4,19
P03,viz2,12
P04,viz3,95
P04,viz2,69
P04,other,38
P04,viz1,25
P04,viz4,11
P05,viz3,117
P05,viz2,33
P05,viz4,26
P05,other,24
P05,viz1,12
P06,other,1
P06,viz4,38
P06,viz3,30
P06,viz2,71
P06,viz1,48
P07,viz2,36
P07,other,18
P07,viz1,18
P07,viz3,18
P07,viz4,7
P08,viz3,29
P08,other,14
P08,viz4,13
P08,viz1,9
P08,viz2,1
P09,viz1,45
P09,other,6
P09,viz2,26
P09,viz4,47
P09,viz3,103
P10,viz3,51
P10,viz1,49
P10,viz2,39
P10,viz4,31
P10,other,26
P11,viz1,45
P11,viz2,30
P11,viz3,16
P11,viz4,15
P11,other,5
P12,viz4,13
P12,viz2,17
P12,other,7
P12,viz1,25
P12,viz3,23
P13,viz3,20
P13,viz2,18
P13,viz4,15
P13,other,13
P13,viz1,5
P14,viz3,152
P14,viz2,29
P14,viz4,21
P14,other,16
P14,viz1,11
P15,other,11
P15,viz4,21
P15,viz3,26
P15,viz2,55
P15,viz1,37
P16,viz2,28
P16,viz3,22
P16,viz1,14
P16,other,8
P16,viz4,4
P17,viz2,22
P17,viz4,13
P17,viz1,11
P17,viz3,8
P17,other,2
P18,viz3,10
P18,viz4,16
P18,other,14
P18,viz1,45
P18,viz2,28
P19,viz4,24
P19,viz2,17
P19,viz1,14
P19,viz3,13
P19,other,12
P20,viz2,17
P20,viz4,14
P20,other,2
P20,viz3,2
P20,viz1,1
P21,other,8
P21,viz3,89
P21,viz4,41
P21,viz1,165
P21,viz2,94
P22,viz4,44
P22,viz1,21
P22,other,8
P22,viz3,5
P22,viz2,2
P23,other,3
P23,viz2,15
P23,viz4,23
P23,viz1,23
P23,viz3,20
P24,viz3,37
P24,viz1,56
P24,viz2,47
P24,viz4,44
P24,other,8
