ParticipantName,View,counts
P01,viz2,23406
P01,viz1,20922
P01,viz3,20728
P01,viz4,16821
P01,other,4107
P02,viz1,10024
P02,viz3,8631
P02,viz4,6447
P02,viz2,6199
P02,other,4265
P03,viz2,7984
P03,viz1,7338
P03,viz4,6956
P03,viz3,5528
P03,other,4805
P04,viz3,13900
P04,other,12675
P04,viz2,12493
P04,viz1,9588
P04,viz4,2196
P05,viz3,54671
P05,other,17219
P05,viz4,11576
P05,viz1,7590
P05,viz2,6998
P06,viz2,23583
P06,viz1,21432
P06,viz3,17249
P06,viz4,9840
P06,other,1753
P07,viz2,12044
P07,other,11078
P07,viz3,6685
P07,viz1,4985
P07,viz4,2094
P08,viz3,6651
P08,other,6335
P08,viz4,4019
P08,viz1,3638
P08,viz2,481
P09,viz3,14059
P09,viz2,6310
P09,viz1,6059
P09,viz4,4891
P09,other,3394
P10,viz3,10583
P10,viz1,10226
P10,other,9979
P10,viz2,8954
P10,viz4,5272
P11,viz1,10609
P11,viz3,6551
P11,viz2,4637
P11,viz4,3936
P11,other,3284
P12,viz1,7215
P12,other,4597
P12,viz3,4536
P12,viz2,3763
P12,viz4,2545
P13,other,10786
P13,viz3,6409
P13,viz2,6004
P13,viz4,4750
P13,viz1,1079
P14,viz3,34156
P14,other,8947
P14,viz2,8943
P14,viz4,6764
P14,viz1,4914
P15,viz3,24413
P15,viz2,24098
P15,viz1,15327
P15,viz4,11261
P15,other,10371
P16,viz3,19023
P16,viz2,17503
P16,viz1,13425
P16,viz4,8427
P16,other,4986
P17,viz1,8061
P17,viz4,7497
P17,viz2,7449
P17,viz3,5104
P17,other,630
P18,viz1,17021
P18,viz2,6033
P18,other,4379
P18,viz3,3055
P18,viz4,2888
P19,viz4,10054
P19,viz1,6239
P19,other,4138
P19,viz2,2492
P19,viz3,2090
P20,viz2,5777
P20,viz3,3930
P20,viz1,2948
P20,other,2773
P20,viz4,1842
P21,viz1,55735
P21,viz3,23058
P21,viz2,22025
P21,viz4,13765
P21,other,4270
P22,viz1,22512
P22,viz4,13246
P22,viz3,9254
P22,other,5621
P22,viz2,3456
P23,viz2,23739
P23,viz1,21272
P23,viz3,18202
P23,viz4,9006
P23,other,3535
P24,viz1,13284
P24,viz3,8381
P24,viz4,7135
P24,viz2,6548
P24,other,2678
