ParticipantName,AOIGaze,counts
P01,Other,30121
P01,Chart,27294
P01,Control,27144
P01,Numbers,1425
P02,Control,17164
P02,Other,9703
P02,Chart,8439
P02,Numbers,260
P03,Control,12537
P03,Chart,10141
P03,Other,9355
P03,Numbers,578
P04,Chart,21185
P04,Other,14889
P04,Control,12900
P04,Numbers,1878
P05,Chart,41569
P05,Control,27901
P05,Other,25839
P05,Numbers,2745
P06,Chart,39772
P06,Control,25680
P06,Other,6953
P06,Numbers,1452
P07,Other,14315
P07,Control,13276
P07,Chart,8543
P07,Numbers,752
P08,Other,8610
P08,Control,6584
P08,Chart,5709
P08,Numbers,221
P09,Control,15414
P09,Chart,12873
P09,Other,5294
P09,Numbers,1132
P10,Control,17134
P10,Other,13754
P10,Chart,13655
P10,Numbers,471
P11,Control,9844
P11,Other,9103
P11,Chart,9057
P11,Numbers,1013
P12,Control,8843
P12,Chart,6699
P12,Other,6695
P12,Numbers,419
P13,Other,12628
P13,Control,10770
P13,Chart,5092
P13,Numbers,538
P14,Chart,23312
P14,Other,20806
P14,Control,17774
P14,Numbers,1832
P15,Chart,36349
P15,Control,27255
P15,Other,19843
P15,Numbers,2023
P16,Chart,24609
P16,Control,23704
P16,Other,13629
P16,Numbers,1422
P17,Control,13014
P17,Chart,10066
P17,Other,5029
P17,Numbers,632
P18,Control,12391
P18,Chart,11921
P18,Other,7880
P18,Numbers,1184
P19,Other,10386
P19,Control,8021
P19,Chart,5494
P19,Numbers,1112
P20,Control,7637
P20,Chart,4911
P20,Other,4295
P20,Numbers,427
P21,Chart,48980
P21,Control,42271
P21,Other,21303
P21,Numbers,6299
P22,Other,21750
P22,Chart,14683
P22,Control,14308
P22,Numbers,3348
P23,Control,37412
P23,Chart,21843
P23,Other,15463
P23,Numbers,1036
P24,Other,14008
P24,Control,12535
P24,Chart,10803
P24,Numbers,680
